conversation_id,message_id,content,sent_by,sent_by_id,timestamp
D-25RMPZ-8SY3JY,b7c1d920-8047-11eb-baa9-a50ee45136cc,"However been getting in shape and losing a lot of weight ",Patrick M.,8SY3JY,2021-03-08T19:51:47.890Z
D-25RMPZ-8SY3JY,d0429570-8047-11eb-a490-bbc2c033b3a2,"Ugh... things are fairly ""normal"" here considering. 11:00pm curfew, but places are open with masks. Waiting to get my vaccination at some point. ",RandomCandace,25RMPZ,2021-03-08T19:52:28.999Z
D-25RMPZ-8SY3JY,dcff6310-8047-11eb-bdf9-1749b61377c0,I think you and I are the only two who have lost weight - lol,RandomCandace,25RMPZ,2021-03-08T19:52:50.369Z
D-25RMPZ-8SY3JY,b9d0ed90-8048-11eb-baa9-a50ee45136cc,:),Patrick M.,8SY3JY,2021-03-08T19:59:00.841Z
D-25RMPZ-8SY3JY,c94253e0-8048-11eb-baa9-a50ee45136cc,"We have a pretty long wait to get the vaccine here ",Patrick M.,8SY3JY,2021-03-08T19:59:26.750Z
D-25RMPZ-8SY3JY,78c9ee30-81b7-11eb-b52f-9d121f853bb0,I'm not inviting Don to play anymore- lol,RandomCandace,25RMPZ,2021-03-10T15:44:17.043Z
D-25RMPZ-8SY3JY,9be70920-81b7-11eb-9c89-69c063c3cc6b,Hahahaha,Patrick M.,8SY3JY,2021-03-10T15:45:15.954Z
D-25RMPZ-8SY3JY,a91efa30-81b7-11eb-b52f-9d121f853bb0,"I was thinking that he put it on a dog and got the dog to run around ",Patrick M.,8SY3JY,2021-03-10T15:45:38.131Z
D-25RMPZ-8SY3JY,b98fa810-81b7-11eb-bdf9-1749b61377c0,It seems a little sketchy...,RandomCandace,25RMPZ,2021-03-10T15:46:05.713Z
D-25RMPZ-8SY3JY,c1e1a180-81b7-11eb-bdf9-1749b61377c0,That was really quick,Patrick M.,8SY3JY,2021-03-10T15:46:19.672Z
D-25RMPZ-8SY3JY,f763e750-81b7-11eb-bdf9-1749b61377c0,He averages a little over 12k a day. I've done 27k so far this week and still have 3 tiles to go. 🤔,RandomCandace,25RMPZ,2021-03-10T15:47:49.445Z
D-25RMPZ-8SY3JY,2b28ecc0-81b8-11eb-9c89-69c063c3cc6b,"I have done 33k this week including today ",Patrick M.,8SY3JY,2021-03-10T15:49:16.300Z
D-25RMPZ-8SY3JY,31816020-81b8-11eb-bdf9-1749b61377c0,I still have three to go as well,Patrick M.,8SY3JY,2021-03-10T15:49:26.946Z
D-25RMPZ-8SY3JY,3a6e6110-81b8-11eb-bdf9-1749b61377c0,The distance thing is where I am getting slowed down,Patrick M.,8SY3JY,2021-03-10T15:49:41.921Z
D-25RMPZ-8SY3JY,48a5e7d0-81b8-11eb-bdf9-1749b61377c0,I didn't work out this morning since he won and because I'm playing disc golf after work.,RandomCandace,25RMPZ,2021-03-10T15:50:05.773Z
D-25RMPZ-8SY3JY,35afbe30-8442-11eb-92e0-1f47ec625448,The bingo I just scheduled for next week is fairer competitor wise. 😁,RandomCandace,25RMPZ,2021-03-13T21:22:26.835Z
D-25RMPZ-8SY3JY,68a565b0-8442-11eb-a9a0-67b8e261d783,Minus one person :),Patrick M.,8SY3JY,2021-03-13T21:23:52.331Z
D-25RMPZ-8SY3JY,725170e0-8442-11eb-a9a0-67b8e261d783,Minus 2 or 3,RandomCandace,25RMPZ,2021-03-13T21:24:08.558Z
D-25RMPZ-8SY3JY,8370ae40-8442-11eb-92e0-1f47ec625448,Are we suspecting cheating amongst the friendly competition,Patrick M.,8SY3JY,2021-03-13T21:24:37.284Z
D-25RMPZ-8SY3JY,93c1ed40-8442-11eb-a9a0-67b8e261d783,Possibly- lol,RandomCandace,25RMPZ,2021-03-13T21:25:04.660Z
D-25RMPZ-8SY3JY,9cbb9950-876c-11eb-92b3-071f69c0580e,Where you at bingo playa? 😉,RandomCandace,25RMPZ,2021-03-17T22:03:32.069Z
D-25RMPZ-8SY3JY,2bddbff0-876d-11eb-977d-05ef64ce93ad,Hurt my back :(,Patrick M.,8SY3JY,2021-03-17T22:07:32.207Z
D-25RMPZ-8SY3JY,329f5560-876d-11eb-88d7-e7deb0e0798c,2 days ago,Patrick M.,8SY3JY,2021-03-17T22:07:43.542Z
D-25RMPZ-8SY3JY,42e793b0-876d-11eb-92b3-071f69c0580e,"Oh no! I hope you feel better soon. I thought you were going in for the sneak attack. ",RandomCandace,25RMPZ,2021-03-17T22:08:10.859Z
D-25RMPZ-8SY3JY,714a93b0-876d-11eb-88d7-e7deb0e0798c,It is ok. It was just at the beginning :(,Patrick M.,8SY3JY,2021-03-17T22:09:28.683Z
D-25RMPZ-8SY3JY,80e63e50-876d-11eb-977d-05ef64ce93ad,I was looking forward to the competition,Patrick M.,8SY3JY,2021-03-17T22:09:54.869Z
D-25RMPZ-8SY3JY,c72d0ea0-877e-11eb-92b3-071f69c0580e,"Rest up. You will have plenty of other opportunities ",RandomCandace,25RMPZ,2021-03-18T00:13:34.218Z
D-25RMPZ-8SY3JY,cf762e70-877e-11eb-92b3-071f69c0580e,"It is all good ",Patrick M.,8SY3JY,2021-03-18T00:13:48.119Z
D-25RMPZ-8SY3JY,d45632a0-877e-11eb-88d7-e7deb0e0798c,"Trust me ",Patrick M.,8SY3JY,2021-03-18T00:13:56.298Z
D-25RMPZ-8SY3JY,db04dc50-877e-11eb-88d7-e7deb0e0798c,You picked the perfect week,Patrick M.,8SY3JY,2021-03-18T00:14:07.509Z
D-25RMPZ-8SY3JY,fcf53710-877e-11eb-b678-5b8a262338bb,"I am actually a bit down because it is the first day in 3 months that i am under 10,000 steps",Patrick M.,8SY3JY,2021-03-18T00:15:04.449Z
D-25RMPZ-8SY3JY,4c9b13c0-877f-11eb-b678-5b8a262338bb,"Man, I know what that feels like. I've learned to listen to my body more and not push myself to hard some days. It sucks when you get on a good roll though ",RandomCandace,25RMPZ,2021-03-18T00:17:18.076Z
D-25RMPZ-8SY3JY,47217490-87b4-11eb-88d7-e7deb0e0798c,Yeah,Patrick M.,8SY3JY,2021-03-18T06:36:32.217Z
D-25RMPZ-8SY3JY,ad7d3070-8cc9-11eb-95f1-77f9a990d9c1,Great job,Patrick M.,8SY3JY,2021-03-24T17:52:19.191Z
D-25RMPZ-8SY3JY,b042b910-8cc9-11eb-b5dd-737a22ddb25c,That was quick,Patrick M.,8SY3JY,2021-03-24T17:52:23.841Z
D-25RMPZ-8SY3JY,c35bcaa0-8cc9-11eb-95f1-77f9a990d9c1,Thanks! I've been busting my butt this week to make up for the alcohol I drank last week. 🤣,RandomCandace,25RMPZ,2021-03-24T17:52:55.882Z
D-25RMPZ-8SY3JY,f978f0e0-8cc9-11eb-95f1-77f9a990d9c1,Lol. Are you only running ? I can never get the distance but the steps seem to be no problem nor the zone minutes,Patrick M.,8SY3JY,2021-03-24T17:54:26.670Z
D-25RMPZ-8SY3JY,4625b1d0-8cca-11eb-95f1-77f9a990d9c1,I do more of a jog - lol,RandomCandace,25RMPZ,2021-03-24T17:56:35.309Z
D-25RMPZ-8SY3JY,4af625a0-8cca-11eb-b5dd-737a22ddb25c,Are you feeling better?,RandomCandace,25RMPZ,2021-03-24T17:56:43.386Z
D-25RMPZ-8SY3JY,58f907d0-8cca-11eb-be29-33fa795b6614,But you are not biking right? I am curious if that counts with the challenge,Patrick M.,8SY3JY,2021-03-24T17:57:06.893Z
D-25RMPZ-8SY3JY,8346cdb0-8cca-11eb-8b15-4d1ea22fbe6d,"Actually i am feeling better. Thank you for asking. Two days ago i went on a light job / fast walk. Yesterday i rested. Today i went on another light jog / fast walk. My back was a bit tinder yesterday and today ",Patrick M.,8SY3JY,2021-03-24T17:58:17.867Z
D-25RMPZ-8SY3JY,887e67c0-8cca-11eb-be29-33fa795b6614,It feels like it is getting better,Patrick M.,8SY3JY,2021-03-24T17:58:26.620Z
D-25RMPZ-8SY3JY,890f5d20-8cca-11eb-b5dd-737a22ddb25c,I don't think anything you enter manually counts. Put your tracker on your shoe. I used to do that in spin class.,RandomCandace,25RMPZ,2021-03-24T17:58:27.570Z
D-25RMPZ-8SY3JY,d3c81640-8cca-11eb-be29-33fa795b6614,"I have a watch. I was thinking that i could tell the watch that I am cycling and see if it counts the distance ",Patrick M.,8SY3JY,2021-03-24T18:00:32.932Z
D-25RMPZ-8SY3JY,1b77ae10-8ccb-11eb-8b15-4d1ea22fbe6d,Glad you are on the mend,RandomCandace,25RMPZ,2021-03-24T18:02:33.201Z
D-25RMPZ-8SY3JY,2f72e240-8ccb-11eb-be29-33fa795b6614,Thanks,Patrick M.,8SY3JY,2021-03-24T18:03:06.724Z
D-25RMPZ-8SY3JY,aa9b5e60-9339-11eb-9101-0b794ef25f60,Glad you are in the game. I was about to check on you.,RandomCandace,25RMPZ,2021-04-01T22:29:04.966Z
D-25RMPZ-8SY3JY,200a1f00-9390-11eb-b361-592f75cc5e83,Yeah. i had a small surgery so have been resting but could move yesterday more,Patrick M.,8SY3JY,2021-04-02T08:47:58.704Z
D-25RMPZ-8SY3JY,5b3a34c0-939a-11eb-b361-592f75cc5e83,Oh wow! Take it easy. I'm glad you're okay.,RandomCandace,25RMPZ,2021-04-02T10:01:12.972Z
D-25RMPZ-8SY3JY,49e55250-9d67-11eb-8df2-01336510e050,"Dear God, I'm not going to do a two week game again. This last tile is killing me! 😫",RandomCandace,25RMPZ,2021-04-14T21:20:51.189Z
D-25RMPZ-8SY3JY,5877f160-9d67-11eb-aa50-ddb0de9ee55c,We still have a good bit of time left,Patrick M.,8SY3JY,2021-04-14T21:21:15.638Z
D-25RMPZ-8SY3JY,73b02c90-9d67-11eb-8df2-01336510e050,"Kristie is on my tail though, and I don't think her goal is as hard.",RandomCandace,25RMPZ,2021-04-14T21:22:01.305Z
D-25RMPZ-8SY3JY,83c85a30-9d67-11eb-aa50-ddb0de9ee55c,"If i was actually healthy the entire time,i would have finished lol",Patrick M.,8SY3JY,2021-04-14T21:22:28.307Z
D-25RMPZ-8SY3JY,8e44adb0-9d67-11eb-9942-d32ec55e5fce,Are you on the mend?,RandomCandace,25RMPZ,2021-04-14T21:22:45.899Z
D-25RMPZ-8SY3JY,95d88740-9d67-11eb-9a8c-d5774318f397,"Yes ",Patrick M.,8SY3JY,2021-04-14T21:22:58.612Z
D-25RMPZ-8SY3JY,9a2217d0-9d67-11eb-aa50-ddb0de9ee55c,Every day getting better,Patrick M.,8SY3JY,2021-04-14T21:23:05.805Z
D-25RMPZ-8SY3JY,a7bbff00-9d67-11eb-aa50-ddb0de9ee55c,Awesome! Tell your wifey hello for me,RandomCandace,25RMPZ,2021-04-14T21:23:28.624Z
D-25RMPZ-8SY3JY,af675830-9d67-11eb-aa50-ddb0de9ee55c,Will do,Patrick M.,8SY3JY,2021-04-14T21:23:41.491Z
D-25RMPZ-8SY3JY,07c9aff0-9d68-11eb-8df2-01336510e050,How are you doing?,Patrick M.,8SY3JY,2021-04-14T21:26:09.775Z
D-25RMPZ-8SY3JY,3e7d7da0-9d78-11eb-8df2-01336510e050,Same old same old,RandomCandace,25RMPZ,2021-04-14T23:22:13.498Z
D-25RMPZ-8SY3JY,5f533ed0-9db3-11eb-8df2-01336510e050,Heard that,Patrick M.,8SY3JY,2021-04-15T06:25:28.893Z
D-25RMPZ-8SY3JY,d88e0a10-9ea2-11eb-9942-d32ec55e5fce,"Congrats! ",RandomCandace,25RMPZ,2021-04-16T10:59:42.001Z
D-25RMPZ-8SY3JY,ee9c18b0-9ea2-11eb-9942-d32ec55e5fce,Thanks :),Patrick M.,8SY3JY,2021-04-16T11:00:19.003Z
D-25RMPZ-8SY3JY,fe6981b0-9ea2-11eb-8df2-01336510e050,I was running at my lunch break to cross the finish line before y'all got going lol,Patrick M.,8SY3JY,2021-04-16T11:00:45.515Z
D-25RMPZ-8SY3JY,71f98d50-9ea3-11eb-aa50-ddb0de9ee55c,"I would have knocked mine out this morning, but I wanted to sleep.",RandomCandace,25RMPZ,2021-04-16T11:03:59.397Z
D-25RMPZ-8SY3JY,8ff43190-a33d-11eb-a73c-d155fabd9eb0,No congrats lol,Patrick M.,8SY3JY,2021-04-22T07:37:16.841Z
D-25RMPZ-8SY3JY,95e6c570-a475-11eb-bcb2-bb2e8764952c,Ha - just now seeing this,RandomCandace,25RMPZ,2021-04-23T20:50:49.799Z
D-25RMPZ-8SY3JY,a64bcb40-a67d-11eb-b36a-2595c15fe3f2,How do you get so many tiles so quickly,Patrick M.,8SY3JY,2021-04-26T10:53:35.604Z
D-25RMPZ-8SY3JY,f973f0e0-a67d-11eb-94e6-9ba51e3e2ae1,Activity minutes,RandomCandace,25RMPZ,2021-04-26T10:55:55.118Z
D-25RMPZ-8SY3JY,07d91750-a67e-11eb-b36a-2595c15fe3f2,Ah,Patrick M.,8SY3JY,2021-04-26T10:56:19.269Z
D-25RMPZ-8SY3JY,27d458d0-a67e-11eb-bcb2-bb2e8764952c,"But still, it has been open for 50 minutes. Did you start exactly when it started or did you wait to sync something from prior?",Patrick M.,8SY3JY,2021-04-26T10:57:12.925Z
D-25RMPZ-8SY3JY,346a6f20-a67f-11eb-bcb2-bb2e8764952c,"I get up at 5:45 every morning and start my morning workout at 6:00. I worked about for about 45 minutes and my heart rate stays up. ",RandomCandace,25RMPZ,2021-04-26T11:04:43.538Z
D-25RMPZ-8SY3JY,53058460-a67f-11eb-94e6-9ba51e3e2ae1,Makes sense,Patrick M.,8SY3JY,2021-04-26T11:05:34.886Z
D-25RMPZ-8SY3JY,5b1e1e50-a67f-11eb-b36a-2595c15fe3f2,You are definitely more structured than me,Patrick M.,8SY3JY,2021-04-26T11:05:48.469Z
D-25RMPZ-8SY3JY,69d9f040-a67f-11eb-b36a-2595c15fe3f2,"I generally go for a walk/run at my lunch time for a couple of hours. Depending on meetings ",Patrick M.,8SY3JY,2021-04-26T11:06:13.188Z
D-25RMPZ-8SY3JY,88a27e20-a67f-11eb-b5ce-2fede79c8143,"I usually workout every morning and then again at lunch and sometimes at night. I'm volunteering at a golf course today, so I'm not sure how much exercise I'm going to get today ",RandomCandace,25RMPZ,2021-04-26T11:07:04.834Z
D-25RMPZ-8SY3JY,9732ac30-a67f-11eb-b36a-2595c15fe3f2,I'm taking advantage of the perks of working at home. 😁,RandomCandace,25RMPZ,2021-04-26T11:07:29.267Z
D-25RMPZ-8SY3JY,b1e340d0-a67f-11eb-bcb2-bb2e8764952c,That is amazing. Much respect. I am still trying to get to my target weight which is another 13 pounds,Patrick M.,8SY3JY,2021-04-26T11:08:14.045Z
D-25RMPZ-8SY3JY,bcbcf690-a67f-11eb-94e6-9ba51e3e2ae1,But yeah i am definitely taking advantage of the work at home perks,Patrick M.,8SY3JY,2021-04-26T11:08:32.249Z
D-25RMPZ-8SY3JY,de2ef990-a67f-11eb-94e6-9ba51e3e2ae1,"I did Noom for 6 months last year and lost about 23lbs. Trying to lose more, but it's so much harder the older you get. 😫",RandomCandace,25RMPZ,2021-04-26T11:09:28.361Z
D-25RMPZ-8SY3JY,0122e1a0-a680-11eb-b36a-2595c15fe3f2,Yeah it has not been easy for me either. I have been doing a mixture of intermittent fasting and extended fasting,Patrick M.,8SY3JY,2021-04-26T11:10:27.002Z
D-25RMPZ-8SY3JY,0aeb2760-a680-11eb-b5ce-2fede79c8143,I am on an extended fast at the moment,Patrick M.,8SY3JY,2021-04-26T11:10:43.414Z
D-25RMPZ-8SY3JY,229c1090-a680-11eb-b5ce-2fede79c8143,"I just started doing mediterranean style eating. I'm hoping that will help even more. ",RandomCandace,25RMPZ,2021-04-26T11:11:23.161Z
D-25RMPZ-8SY3JY,329321a0-a680-11eb-bcb2-bb2e8764952c,Basically do a long fast than maintain for a couple of months and do another long fast,Patrick M.,8SY3JY,2021-04-26T11:11:49.946Z
D-25RMPZ-8SY3JY,416b5530-a680-11eb-b36a-2595c15fe3f2,Ouch,RandomCandace,25RMPZ,2021-04-26T11:12:14.851Z
D-25RMPZ-8SY3JY,4542c300-a680-11eb-94e6-9ba51e3e2ae1,"Since 2019 , i have lost 60+ pounds",Patrick M.,8SY3JY,2021-04-26T11:12:21.296Z
D-25RMPZ-8SY3JY,4efd2610-a680-11eb-94e6-9ba51e3e2ae1,And have kept it off (maintain ),Patrick M.,8SY3JY,2021-04-26T11:12:37.617Z
D-25RMPZ-8SY3JY,536cdc40-a680-11eb-b36a-2595c15fe3f2,"Wow! That's awesome! ",RandomCandace,25RMPZ,2021-04-26T11:12:45.060Z
D-25RMPZ-8SY3JY,6c734350-a680-11eb-94e6-9ba51e3e2ae1,"Once I get to my target weight, i will focus more on weight lifting and maintaining",Patrick M.,8SY3JY,2021-04-26T11:13:27.045Z
D-25RMPZ-8SY3JY,6ef1fef0-a680-11eb-bcb2-bb2e8764952c,Thanks!,Patrick M.,8SY3JY,2021-04-26T11:13:31.231Z
D-25RMPZ-8SY3JY,499f9e70-a836-11eb-bcb2-bb2e8764952c,Damn lonnie is quick,Patrick M.,8SY3JY,2021-04-28T15:27:48.183Z
D-25RMPZ-8SY3JY,5cf89f30-a836-11eb-b5ce-2fede79c8143,He's quite the runner. He's getting back at it after an injury,RandomCandace,25RMPZ,2021-04-28T15:28:20.643Z
D-25RMPZ-8SY3JY,8b877630-fc61-11eb-b694-958763c54ecd,"I picked people to where it will be fairer this go around. ",RandomCandace,25RMPZ,2021-08-13T18:09:04.787Z
D-25RMPZ-8SY3JY,89484250-fc66-11eb-b37c-6152fe598946,Sounds fun! Thanks for thinking of me,Patrick M.,8SY3JY,2021-08-13T18:44:48.501Z
D-25RMPZ-8SY3JY,8e382fe0-09aa-11ec-bc75-41f55898a850,I screwed up when I scheduled this one. It was supposed to be 5 days. 🤣,RandomCandace,25RMPZ,2021-08-30T15:54:27.678Z
D-25RMPZ-8SY3JY,fce55120-09aa-11ec-8c15-4fe276b7079a,Hahaha,Patrick M.,8SY3JY,2021-08-30T15:57:33.362Z
D-25RMPZ-8SY3JY,074a7320-09ab-11ec-a2f5-456031e2b3f3,"Keep up with these competitions ",Patrick M.,8SY3JY,2021-08-30T15:57:50.802Z
D-25RMPZ-8SY3JY,0d8d1490-09ab-11ec-80e4-291b07e1a1a0,It is helping me to keep moving,Patrick M.,8SY3JY,2021-08-30T15:58:01.305Z
D-25RMPZ-8SY3JY,efaa3090-10a1-11ec-b1a0-657f260d2e27,Congrats,Patrick M.,8SY3JY,2021-09-08T12:40:23.833Z
